**COMMON**,,
40059,Unsupportable type {0} of parent field for Duplicate {1},This kind of type is not allowed for Duplicate parent field
40060,Missing role order,A role has no order set while template flow set to manual ordering
40061,All roles have same order,All roles with same order in template flow
40062,Role {0} should be ordered after {1},Wrong template flow role order set
40065,Duplicated field name: {0},Duplicated field name
40066,Category or one of subcategories is not empty,There is active template in the category or one of its subcategories
40067,Cannot move to this category,"It's impossible to move a category inside the category you're about to delete"
40069,Template has roles with same ID: {0},Template syntax error. Please check roles IDs and make them unique
40070,Cannot share template to yourself,"Creator's mailbox should not be in sharedTo list"
40071,Only shared categories can be assigned to shared template,Only shared categories can be assigned to shared template
40072,"Field '{0}' cannot be searchable","Supported types of fields that can be searchable: text, number, money, datetime, select-dictionary, duplicate, lookup"
40073,"Field '{0}' from the formula '{1}' was not found",Please check all fields in the formula
40074,"Wrong formula with name '{0}'. Check supported operations",Please check the formula
40075,Recursion found in formulas,Please check the formulas
40076,Stamp is not supported,Please do not use stamps
**ENVELOPE**,,
50001,Envelope field is empty,Required field on envelope is empty. To solve this issue please fill field with a valid content
50002,"Value of '{0}' should be greater than {1}",Entered value in the field is less than minimal value. Please enter valid value
50003,"Value of '{0}' should be less than {1}",Entered value in the field is bigger than maximum value. Please enter valid value
50004,"Expected value with precision = {0} for field '{1}'",Precision of the entered value should be higher than minimal precision. Please pay attention to the settings of the field
50005,Empty signatures list,Signatures list is empty on the envelope. Please add signatures block before send request
50006,"Unexpected value '{0}' for field '{1}'. Allowed: {2},{3}.",Entered value does not correspond to one of the allowed values. Please look at properties of the field to clarify allowed values
50007,Not all roles has mailboxUuid set properly,"This error happens if some role doesn't have valid mailbox UUID on the envelope"
50008,Not all roles has ID set properly,"This error happens if some role doesn't have valid role ID on the envelope"
50009,Not valid envelope subject: {0},Subject of the envelope is empty or invalid. Subject of the envelope should not have restricted symbols: [\/:”*?<>|p{C}]+
50010,"There is mailbox predefined in template for role '{0}' and cannot be changed",Mailbox UUID is predefined for particular role on the template and cannot be changed
50011,Envelope {0} not found,Envelope with entered UUID was not found. Please check correctness of the entered data
50012,Envelope templateUuid or templateVersion is required,Template UUID or template version UUID is required to this request
50013,Generated envelope has different templateUuid,Generated envelope has different template UUID in the envelope data or in the parameter of the request
50014,Generated envelope has different versionUuid,Generated envelope has different template version UUID in the envelope data or in the parameter of the request
